Communes,code_ofs,district_electoral
Aigle,5401,Aigle
Bex,5402,Aigle
Chessel,5403,Aigle
Corbeyrier,5404,Aigle
Gryon,5405,Aigle
Lavey-Morcles,5406,Aigle
Leysin,5407,Aigle
Noville,5408,Aigle
Ollon VD,5409,Aigle
Ormont-Dessous,5410,Aigle
Ormont-Dessus,5411,Aigle
Rennaz,5412,Aigle
Roche VD,5413,Aigle
Villeneuve VD,5414,Aigle
Yvorne,5415,Aigle
Avenches,5451,Broye-Vully
Bussy-sur-Moudon,5663,Broye-Vully
Champtauroz,5812,Broye-Vully
Chavannes-sur-Moudon,5665,Broye-Vully
Chevroux,5813,Broye-Vully
Corcelles-le-Jorat,5785,Broye-Vully
Corcelles-près-Payerne,5816,Broye-Vully
Cudrefin,5456,Broye-Vully
Curtilles,5669,Broye-Vully
Dompierre VD,5671,Broye-Vully
Faoug,5458,Broye-Vully
Grandcour,5817,Broye-Vully
Henniez,5819,Broye-Vully
Hermenches,5673,Broye-Vully
Lovatens,5674,Broye-Vully
Lucens,5675,Broye-Vully
Missy,5821,Broye-Vully
Moudon,5678,Broye-Vully
Payerne,5822,Broye-Vully
Prévonloup,5683,Broye-Vully
Ropraz,5798,Broye-Vully
Rossenges,5684,Broye-Vully
Syens,5688,Broye-Vully
Trey,5827,Broye-Vully
Treytorrens (Payerne),5828,Broye-Vully
Valbroye,5831,Broye-Vully
Villars-le-Comte,5690,Broye-Vully
Villarzel,5830,Broye-Vully
Vucherens,5692,Broye-Vully
Vulliens,5803,Broye-Vully
Vully-les-Lacs,5464,Broye-Vully
Assens,5511,Gros-de-Vaud
Bercher,5512,Gros-de-Vaud
Bettens,5471,Gros-de-Vaud
Bottens,5514,Gros-de-Vaud
Boulens,5661,Gros-de-Vaud
Bournens,5472,Gros-de-Vaud
Boussens,5473,Gros-de-Vaud
Bretigny-sur-Morrens,5515,Gros-de-Vaud
Cugy VD,5516,Gros-de-Vaud
Daillens,5480,Gros-de-Vaud
Echallens,5518,Gros-de-Vaud
Essertines-sur-Yverdon,5520,Gros-de-Vaud
Etagnières,5521,Gros-de-Vaud
Fey,5522,Gros-de-Vaud
Froideville,5523,Gros-de-Vaud
Goumoëns,5541,Gros-de-Vaud
Jorat-Menthue,5804,Gros-de-Vaud
Lussery-Villars,5487,Gros-de-Vaud
Mex VD,5489,Gros-de-Vaud
Montanaire,5693,Gros-de-Vaud
Montilliez,5540,Gros-de-Vaud
Morrens VD,5527,Gros-de-Vaud
Ogens,5680,Gros-de-Vaud
Oppens,5923,Gros-de-Vaud
Oulens-sous-Echallens,5529,Gros-de-Vaud
Pailly,5530,Gros-de-Vaud
Penthalaz,5495,Gros-de-Vaud
Penthaz,5496,Gros-de-Vaud
Penthéréaz,5531,Gros-de-Vaud
Poliez-Pittet,5533,Gros-de-Vaud
Rueyres,5534,Gros-de-Vaud
Saint-Barthélemy VD,5535,Gros-de-Vaud
Sullens,5501,Gros-de-Vaud
Villars-le-Terroir,5537,Gros-de-Vaud
Vuarrens,5539,Gros-de-Vaud
Vufflens-la-Ville,5503,Gros-de-Vaud
Agiez,5742,Yverdon
Arnex-sur-Orbe,5743,Yverdon
Ballaigues,5744,Yverdon
Baulmes,5745,Yverdon
Bavois,5746,Yverdon
Belmont-sur-Yverdon,5902,Yverdon
Bioley-Magnoux,5903,Yverdon
Bofflens,5747,Yverdon
Bonvillars,5551,Yverdon
Bretonnières,5748,Yverdon
Bullet,5552,Yverdon
Chamblon,5904,Yverdon
Champagne,5553,Yverdon
Champvent,5905,Yverdon
Chavannes-le-Chêne,5907,Yverdon
Chavornay,5749,Yverdon
Cheseaux-Noréaz,5909,Yverdon
Chêne-Pâquier,5908,Yverdon
Concise,5554,Yverdon
Corcelles-près-Concise,5555,Yverdon
Cronay,5910,Yverdon
Croy,5752,Yverdon
Cuarny,5911,Yverdon
Donneloye,5913,Yverdon
Démoret,5912,Yverdon
Ependes VD,5914,Yverdon
Fiez,5556,Yverdon
Fontaines-sur-Grandson,5557,Yverdon
Giez,5559,Yverdon
Grandevent,5560,Yverdon
Grandson,5561,Yverdon
Juriens,5754,Yverdon
L'Abbaye,5871,La Vallée
L'Abergement,5741,Yverdon
La Praz,5758,Yverdon
Le Chenit,5872,La Vallée
Le Lieu,5873,La Vallée
Les Clées,5750,Yverdon
Lignerolle,5755,Yverdon
Mathod,5919,Yverdon
Mauborget,5562,Yverdon
Molondin,5921,Yverdon
Montagny-près-Yverdon,5922,Yverdon
Montcherand,5756,Yverdon
Mutrux,5563,Yverdon
Novalles,5564,Yverdon
Onnens VD,5565,Yverdon
Orbe,5757,Yverdon
Orges,5924,Yverdon
Orzens,5925,Yverdon
Pomy,5926,Yverdon
Premier,5759,Yverdon
Provence,5566,Yverdon
Rances,5760,Yverdon
Romainmôtier-Envy,5761,Yverdon
Rovray,5928,Yverdon
Sainte-Croix,5568,Yverdon
Sergey,5762,Yverdon
Suchy,5929,Yverdon
Suscévaz,5930,Yverdon
Treycovagnes,5931,Yverdon
Tévenon,5571,Yverdon
Ursins,5932,Yverdon
Valeyres-sous-Montagny,5933,Yverdon
Valeyres-sous-Rances,5763,Yverdon
Valeyres-sous-Ursins,5934,Yverdon
Vallorbe,5764,Yverdon
Vaulion,5765,Yverdon
Villars-Epeney,5935,Yverdon
Vugelles-La Mothe,5937,Yverdon
Vuiteboeuf,5766,Yverdon
Yverdon-les-Bains,5938,Yverdon
Yvonand,5939,Yverdon
Cheseaux-sur-Lausanne,5582,Romanel
Epalinges,5584,Romanel
Jouxtens-Mézery,5585,Romanel
Lausanne,5586,Lausanne-Ville
Le Mont-sur-Lausanne,5587,Romanel
Romanel-sur-Lausanne,5592,Romanel
Belmont-sur-Lausanne,5581,Lavaux-Oron
Bourg-en-Lavaux,5613,Lavaux-Oron
Chexbres,5601,Lavaux-Oron
Forel (Lavaux),5604,Lavaux-Oron
Jorat-Mézières,5806,Lavaux-Oron
Lutry,5606,Lavaux-Oron
Maracon,5790,Lavaux-Oron
Montpreveyres,5792,Lavaux-Oron
Oron,5805,Lavaux-Oron
Paudex,5588,Lavaux-Oron
Puidoux,5607,Lavaux-Oron
Pully,5590,Lavaux-Oron
Rivaz,5609,Lavaux-Oron
Saint-Saphorin (Lavaux),5610,Lavaux-Oron
Savigny,5611,Lavaux-Oron
Servion,5799,Lavaux-Oron
Aclens,5621,Morges
Allaman,5851,Morges
Aubonne,5422,Morges
Ballens,5423,Morges
Berolle,5424,Morges
Bière,5425,Morges
Bougy-Villars,5426,Morges
