Communes,code_ofs,district_electoral,dim1,dim1_acp,dim2_acp,dim3_acp,effectif,liste_eag_2022,part_eag_2022,part_gauche_2022,part_ps_verts,raboud_voix,part_raboud_2026,tendance_raboud,particip_moy,part_eag_cc,ecart,levier,part_manquante,voix_quorum,voix_siege,statut_district,marge_ecart,marge_raboud,marge_reservoir,marge_progression,source_marge,potentiel_commune,potentiel_district,score_district,score_priorite,score_marge,part_score_district,voix_a_trouver,voix_quorum_commune,profil,cluster,type_electorat,message_cle
Aigle,5401,Aigle,0.5688941388859339,0.5688941388859339,-0.654488956700615,-0.04227955472323332,1562,TRUE,0.03969270166453265,0.3866837387964149,0.34699103713188223,168,0.06857142857142857,0.028878726906895927,0.45085012529550283,NA,0.002125921143699222,0.005917159763313609,0.022233916589922378,161,169,offensive,0,0.028878726906895927,0.034699103713188226,0.034699103713188226,reservoir_ps_verts,54.20000000000001,292.6002125828787,1.7313622046324184,0.3207100591715977,0.2053201403147232,0.18523568223535694,32,30,mobilisation,5,2. Gauche marquée abstentionniste,Électorat acquis qui ne se déplace pas — priorité absolue au « faire voter »
Bex,5402,Aigle,1.7108029824327098,1.7108029824327098,-0.8777011696938358,-0.6061824348086031,1239,TRUE,0.031476997578692496,0.44713478611783697,0.4156577885391445,176,0.08,0.048523002421307505,0.48216961422590304,NA,-0.022210577730580668,0.005917159763313609,0.022233916589922378,161,169,offensive,0.022210577730580668,0.048523002421307505,0.04156577885391445,0.048523002421307505,raboud_2026,60.12,292.6002125828787,1.7313622046324184,0.35573964497041416,0.28711835752252957,0.2054680667156763,35,34,mobilisation,5,2. Gauche marquée abstentionniste,Électorat acquis qui ne se déplace pas — priorité absolue au « faire voter »
Chessel,5403,Aigle,-1.5712154421992,-1.5712154421992,-1.9329586807486256,-0.6175875123454937,97,TRUE,0.010309278350515464,0.27835051546391754,0.26804123711340205,11,0.06626506024096386,0.0559557818904484,0.5202587330761645,NA,0.002955301221491435,0.005917159763313609,0.022233916589922378,161,169,offensive,0,0.0559557818904484,0.026804123711340208,0.0559557818904484,raboud_2026,5.427710843373495,292.6002125828787,1.7313622046324184,0.03211663220931062,0.3310993011269136,0.01854992105255597,4,3,persuasion,1,5. Droite,"Terrain difficile — présence, visibilité, et d'abord déposer une liste"
Corbeyrier,5404,Aigle,1.6759382812305517,1.6759382812305517,-1.930400176771495,-0.2824554141922362,130,TRUE,0.038461538461538464,0.36923076923076925,0.3307692307692308,19,0.09595959595959595,0.05749805749805749,0.5638722197342887,NA,-0.014733837582778894,0.005917159763313609,0.022233916589922378,161,169,offensive,0.014733837582778894,0.05749805749805749,0.03307692307692308,0.05749805749805749,raboud_2026,7.474747474747474,292.6002125828787,1.7313622046324184,0.04422927499850576,0.3402251922961982,0.025545940000403312,5,5,persuasion,4,1. Gauche marquée mobilisé,Gauche implantée où EàG a déjà fait ses preuves — incarner et consolider
Gryon,5405,Aigle,-0.2710187003843512,-0.2710187003843512,0.4802634526077931,0.17559957223999142,267,TRUE,0.04868913857677903,0.40074906367041196,0.35205992509363293,30,0.06134969325153374,0.012660554674754715,0.5476769879333233,NA,0.022979751576076783,0.005917159763313609,0.022233916589922378,161,169,offensive,0,0.012660554674754715,0.03520599250936329,0.03520599250936329,reservoir_ps_verts,9.399999999999999,292.6002125828787,1.7313622046324184,0.055621301775147916,0.2083194823039248,0.032125745627534216,6,6,report_gauche,2,3. Centre mobilisé,Commune disputée où EàG perce déjà — porte-à-porte et présence publique
Lavey-Morcles,5406,Aigle,-1.0904557202354677,-1.0904557202354677,-1.7757317835964583,-0.25729397637720114,164,TRUE,0.036585365853658534,0.32926829268292684,0.29268292682926833,19,0.06690140845070422,0.030316042597045685,0.4715955719066688,NA,0.022444306844917716,0.005917159763313609,0.022233916589922378,161,169,offensive,0,0.030316042597045685,0.029268292682926834,0.030316042597045685,raboud_2026,4.971830985915492,292.6002125828787,1.7313622046324184,0.029419118259854982,0.17938486743814014,0.016991891229426997,3,3,implantation,1,5. Droite,"Terrain difficile — présence, visibilité, et d'abord déposer une liste"
Leysin,5407,Aigle,1.5435298061095266,1.5435298061095266,0.13189240430638205,0.26238748373397514,500,TRUE,0.02,0.372,0.352,54,0.06593406593406594,0.04593406593406593,0.5008199583708958,NA,-0.031326111376004245,0.005917159763313609,0.022233916589922378,161,169,offensive,0.031326111376004245,0.04593406593406593,0.0352,0.04593406593406593,raboud_2026,22.967032967032967,292.6002125828787,1.7313622046324184,0.13589960335522466,0.2717992067104493,0.07849287860830784,14,13,mobilisation,5,2. Gauche marquée abstentionniste,Électorat acquis qui ne se déplace pas — priorité absolue au « faire voter »
Noville,5408,Aigle,-1.1589350032365462,-1.1589350032365462,-0.8985990243844767,0.3157380857005432,199,TRUE,0.02512562814070352,0.35678391959798994,0.3316582914572864,12,0.03076923076923077,0.005643602628527252,0.46397311614251074,NA,0.011951319214299424,0.005917159763313609,0.022233916589922378,161,169,offensive,0,0.005643602628527252,0.033165829145728645,0.033165829145728645,reservoir_ps_verts,6.6000000000000005,292.6002125828787,1.7313622046324184,0.039053254437869826,0.19624750973803934,0.022556374589545305,4,4,report_gauche,5,2. Gauche marquée abstentionniste,Électorat acquis qui ne se déplace pas — priorité absolue au « faire voter »
Ollon VD,5409,Aigle,-0.33224549929693703,-0.33224549929693703,0.13216328278241676,-0.3606111379963665,1543,TRUE,0.027219701879455604,0.3765392093324692,0.3493195074530136,143,0.05616653574234093,0.028946833862885324,0.5848229409975736,NA,0.002374678673114701,0.005917159763313609,0.022233916589922378,161,169,offensive,0,0.028946833862885324,0.03493195074530136,0.03493195074530136,reservoir_ps_verts,53.9,292.6002125828787,1.7313622046324184,0.31893491124260354,0.20669793340415005,0.18421039248128665,32,30,report_gauche,2,3. Centre mobilisé,Commune disputée où EàG perce déjà — porte-à-porte et présence publique
Ormont-Dessous,5410,Aigle,-1.6178290198769911,-1.6178290198769911,-1.349770288162958,-0.6453920695368992,244,TRUE,0.020491803278688523,0.27459016393442626,0.2540983606557377,31,0.0649895178197065,0.044497714541017974,0.5253258391101622,NA,0.013795889115325276,0.005917159763313609,0.022233916589922378,161,169,offensive,0,0.044497714541017974,0.025409836065573774,0.044497714541017974,raboud_2026,10.857442348008385,292.6002125828787,1.7313622046324184,0.06424522099413246,0.26330008604152644,0.037106747982737796,7,6,implantation,1,5. Droite,"Terrain difficile — présence, visibilité, et d'abord déposer une liste"
Ormont-Dessus,5411,Aigle,-2.5385878752717734,-2.5385878752717734,0.5018738084991777,0.3857324254931881,335,TRUE,0.023880597014925373,0.20298507462686566,0.1791044776119403,17,0.03125,0.007369402985074627,0.5393473046225663,NA,0.03018341269006164,0.005917159763313609,0.022233916589922378,161,169,offensive,0,0.007369402985074627,0.01791044776119403,0.01791044776119403,reservoir_ps_verts,6,292.6002125828787,1.7313622046324184,0.03550295857988166,0.10597898083546764,0.020505795081404824,4,4,implantation,1,5. Droite,"Terrain difficile — présence, visibilité, et d'abord déposer une liste"
Rennaz,5412,Aigle,0.6916508514609131,0.6916508514609131,-1.2555954063587416,-0.5154696683619509,98,TRUE,0.04081632653061224,0.40816326530612246,0.3673469387755102,16,0.07407407407407407,0.03325774754346183,0.4493188529819293,NA,0.0015165392259990015,0.005917159763313609,0.022233916589922378,161,169,offensive,0,0.03325774754346183,0.036734693877551024,0.036734693877551024,reservoir_ps_verts,3.6000000000000005,292.6002125828787,1.7313622046324184,0.021301775147928997,0.21736505252988772,0.012303477048842895,3,2,mobilisation,5,2. Gauche marquée abstentionniste,Électorat acquis qui ne se déplace pas — priorité absolue au « faire voter »
Roche VD,5413,Aigle,-1.0586417848515013,-1.0586417848515013,-1.5565958917900464,0.8326484807095781,202,TRUE,0.01485148514851485,0.36633663366336633,0.35148514851485146,33,0.0746606334841629,0.059809148335648044,0.41900932755792963,NA,2.612957852488537e-4,0.005917159763313609,0.022233916589922378,161,169,offensive,0,0.059809148335648044,0.035148514851485145,0.059809148335648044,raboud_2026,12.081447963800905,292.6002125828787,1.7313622046324184,0.07148785777396985,0.3539002860097517,0.04128994937205948,7,7,persuasion,3,4. Centre,"Commune disputée, réservoir réel — thèmes sociaux concrets, pas d'étiquette"
Villeneuve VD,5414,Aigle,1.4627601192238042,1.4627601192238042,-0.8214762069940114,-0.35667552673853026,758,TRUE,0.018469656992084433,0.3891820580474934,0.370712401055409,66,0.05365853658536585,0.035188879593281416,0.4380446153322844,NA,-0.03171619563667426,0.005917159763313609,0.022233916589922378,161,169,offensive,0.03171619563667426,0.035188879593281416,0.0370712401055409,0.0370712401055409,reservoir_ps_verts,28.1,292.6002125828787,1.7313622046324184,0.16627218934911242,0.2193564503286444,0.09603547363124593,17,16,mobilisation,5,2. Gauche marquée abstentionniste,Électorat acquis qui ne se déplace pas — priorité absolue au « faire voter »
Yvorne,5415,Aigle,-1.0928522694802045,-1.0928522694802045,0.09676465204115267,-0.08830785357899501,264,TRUE,0.011363636363636364,0.2727272727272727,0.26136363636363635,13,0.031476997578692496,0.020113361215056132,0.4772112620379461,NA,-0.0027435895779615495,0.005917159763313609,0.022233916589922378,161,169,offensive,0.0027435895779615495,0.020113361215056132,0.026136363636363638,0.026136363636363638,reservoir_ps_verts,6.9,292.6002125828787,1.7313622046324184,0.04082840236686391,0.1546530392684239,0.023581664343615548,4,4,persuasion,1,5. Droite,"Terrain difficile — présence, visibilité, et d'abord déposer une liste"
Avenches,5451,Broye-Vully,-0.6025186908939155,-0.6025186908939155,-1.0834023104696022,-0.6498171514107777,573,FALSE,0,0.35602094240837695,0.35602094240837695,45,0.04563894523326572,0.04563894523326572,0.4326803557937513,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.04563894523326572,0.0356020942408377,0.04563894523326572,raboud_2026,26.151115618661258,378.47248309332974,0.8281673590663671,0.057223447743241264,0.09986640094806502,0.06909647804491113,32,26,persuasion,5,2. Gauche marquée abstentionniste,Électorat acquis qui ne se déplace pas — priorité absolue au « faire voter »
