Communes,code_ofs,district_electoral,liste_eag_2022,statut_comparaison,bulletins_2022,voix_eag_2022,part_eag_2022,bulletins_2026,voix_raboud_2026,part_raboud_2026,diff_part,ratio_part,voix_raboud_base_2022,diff_voix,effet_participation,effet_performance,dim1,particip_moy
Aigle,5401,Aigle,TRUE,progression,1562,62,0.03969270166453265,2450,168,0.06857142857142857,0.028878726906895927,1.7275576036866362,107.10857142857144,106,60.89142857142858,45.10857142857144,0.5688941388859339,0.45085012529550283
Bex,5402,Aigle,TRUE,progression,1239,39,0.031476997578692496,2200,176,0.08,0.048523002421307505,2.5415384615384613,99.12,137,76.88,60.12,1.7108029824327098,0.48216961422590304
Chessel,5403,Aigle,TRUE,progression,97,1,0.010309278350515464,166,11,0.06626506024096386,0.0559557818904484,6.427710843373495,6.427710843373495,10,4.572289156626506,5.427710843373495,-1.5712154421992,0.5202587330761645
Corbeyrier,5404,Aigle,TRUE,progression,130,5,0.038461538461538464,198,19,0.09595959595959595,0.05749805749805749,2.494949494949495,12.474747474747474,14,6.525252525252525,7.474747474747474,1.6759382812305517,0.5638722197342887
Gryon,5405,Aigle,TRUE,progression,267,13,0.04868913857677903,489,30,0.06134969325153374,0.012660554674754715,1.2600283152430392,16.380368098159508,17,13.61963190184049,3.380368098159509,-0.2710187003843512,0.5476769879333233
Lavey-Morcles,5406,Aigle,TRUE,progression,164,6,0.036585365853658534,284,19,0.06690140845070422,0.030316042597045685,1.828638497652582,10.971830985915492,13,8.028169014084506,4.971830985915492,-1.0904557202354677,0.4715955719066688
Leysin,5407,Aigle,TRUE,progression,500,10,0.02,819,54,0.06593406593406594,0.04593406593406593,3.2967032967032965,32.96703296703297,44,21.032967032967033,22.967032967032967,1.5435298061095266,0.5008199583708958
Noville,5408,Aigle,TRUE,stable,199,5,0.02512562814070352,390,12,0.03076923076923077,0.005643602628527252,1.2246153846153847,6.1230769230769235,7,5.876923076923077,1.123076923076923,-1.1589350032365462,0.46397311614251074
Ollon VD,5409,Aigle,TRUE,progression,1543,42,0.027219701879455604,2546,143,0.05616653574234093,0.028946833862885324,2.0634515392960013,86.66496465043205,101,56.33503534956795,44.664964650432054,-0.33224549929693703,0.5848229409975736
Ormont-Dessous,5410,Aigle,TRUE,progression,244,5,0.020491803278688523,477,31,0.0649895178197065,0.044497714541017974,3.171488469601677,15.857442348008384,26,15.142557651991613,10.857442348008385,-1.6178290198769911,0.5253258391101622
Ormont-Dessus,5411,Aigle,TRUE,stable,335,8,0.023880597014925373,544,17,0.03125,0.007369402985074627,1.30859375,10.46875,9,6.53125,2.46875,-2.5385878752717734,0.5393473046225663
Rennaz,5412,Aigle,TRUE,progression,98,4,0.04081632653061224,216,16,0.07407407407407407,0.03325774754346183,1.8148148148148149,7.259259259259259,12,8.74074074074074,3.259259259259259,0.6916508514609131,0.4493188529819293
Roche VD,5413,Aigle,TRUE,progression,202,3,0.01485148514851485,442,33,0.0746606334841629,0.059809148335648044,5.027149321266968,15.081447963800905,30,17.918552036199095,12.081447963800905,-1.0586417848515013,0.41900932755792963
Villeneuve VD,5414,Aigle,TRUE,progression,758,14,0.018469656992084433,1230,66,0.05365853658536585,0.035188879593281416,2.905226480836237,40.673170731707316,52,25.326829268292684,26.673170731707312,1.4627601192238042,0.4380446153322844
Yvorne,5415,Aigle,TRUE,progression,264,3,0.011363636363636364,413,13,0.031476997578692496,0.020113361215056132,2.7699757869249395,8.30992736077482,10,4.690072639225182,5.309927360774819,-1.0928522694802045,0.4772112620379461
Avenches,5451,Broye-Vully,FALSE,sans liste 2022,573,0,0,986,45,0.04563894523326572,0.04563894523326572,NA,26.151115618661258,45,18.848884381338742,26.151115618661258,-0.6025186908939155,0.4326803557937513
Bussy-sur-Moudon,5663,Broye-Vully,FALSE,sans liste 2022,64,0,0,119,3,0.025210084033613446,0.025210084033613446,NA,1.6134453781512605,3,1.3865546218487395,1.6134453781512605,-4.521534652631299,0.5441763057731923
Champtauroz,5812,Broye-Vully,FALSE,sans liste 2022,44,0,0,82,7,0.08536585365853659,0.08536585365853659,NA,3.75609756097561,7,3.2439024390243905,3.75609756097561,2.1628007057015632,0.5594165543018002
