district_electoral,liste_eag_2022,n_communes,bulletins_2022,bulletins_2026,voix_eag_2022,voix_raboud_2026,effet_participation,effet_performance,part_eag_2022,part_raboud_2026,diff_part,diff_voix,voix_raboud_base_2022
Morges,FALSE,56,16929,27500,0,1775,677.4853074976312,1097.514692502369,0,0.06454545454545454,0.06454545454545454,1775,1092.69
Nyon,FALSE,47,16450,29088,0,1705,744.2727114501964,960.7272885498036,0,0.058615236523652366,0.058615236523652366,1705,964.2206408140814
La Vallée,FALSE,3,1647,2344,0,133,37.536521887617766,95.46347811238225,0,0.05674061433447099,0.05674061433447099,133,93.45179180887372
Lavaux-Oron,TRUE,16,13700,21985,38,1272,481.18170452946845,752.8182954705316,0.002773722627737226,0.057857630202410734,0.055083907574673505,1234,792.6495337730271
Broye-Vully,FALSE,31,7376,11930,0,614,236.3091934797385,377.6908065202615,0,0.051466890192791284,0.051466890192791284,614,379.6197820620285
Gros-de-Vaud,FALSE,36,9884,17000,0,845,355.84582492983907,489.15417507016093,0,0.049705882352941176,0.049705882352941176,845,491.2929411764706
Romanel,TRUE,5,5432,9053,92,511,206.3357763182796,212.6642236817204,0.016936671575846832,0.056445377223019996,0.03950870564717317,419,306.61128907544463
Aigle,TRUE,15,7602,12864,220,808,332.11169896513996,255.88830103486004,0.028939752696658775,0.06281094527363185,0.033871192576973075,588,477.4888059701493
Lausanne-Ville,TRUE,1,18616,32431,2310,5001,2130.3325521877214,560.667447812278,0.1240868070477009,0.1542043106903888,0.030117503642687907,2691,2870.667447812278
Pays-d'Enhaut,FALSE,3,1093,1490,0,35,8.96388031227251,26.03611968772749,0,0.02348993288590604,0.02348993288590604,35,25.674496644295303
Ouest lausannois,TRUE,8,9553,16469,812,1583,662.5544500399579,108.44554996004211,0.0849994766042081,0.09611998299836055,0.011120506394152449,771,918.2341975833384
Yverdon,TRUE,70,16476,26556,1242,1785,677.7387203329663,-134.7387203329662,0.07538237436270939,0.06721644826028016,-0.008165926102429236,543,1107.4582015363758
Riviera,TRUE,9,13863,22451,1465,1903,732.4539721801789,-294.4539721801788,0.10567698189425088,0.0847623713865752,-0.02091461050767568,438,1175.060754532092
