votation,date,positionnement_politique_oui,district,Communes,code_ofs,Electeurs_inscrits,Bulletins_rentres,Blancs,Nuls,Valables,OUI,OUI_perc,NON,NON_perc,particip_perc
gc_2022_PS,20.03.22,centre-gauche,Vevey,Chardonne,5882,,727,0,0,727,85,11.691884456671252,642,88.30811554332875,
gc_2022_Gauche,20.03.22,gauche,Vevey,Chardonne,5882,,727,0,0,727,55,7.565337001375516,672,92.43466299862449,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,Chardonne,5882,,727,0,0,727,114,15.680880330123797,613,84.3191196698762,
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,Chardonne,5882,,727,0,0,727,315,43.328748280605225,412,56.671251719394775,
gc_2022_centre,20.03.22,centre,Vevey,Chardonne,5882,,727,0,0,727,73,10.041265474552958,654,89.95873452544704,
gc_2022_verts,20.03.22,centre-gauche,Vevey,Chardonne,5882,,727,0,0,727,85,11.691884456671252,642,88.30811554332875,
gc_2022_PS,20.03.22,centre-gauche,Vevey,Corseaux,5883,,610,0,0,610,77,12.622950819672132,533,87.37704918032787,
gc_2022_Gauche,20.03.22,gauche,Vevey,Corseaux,5883,,610,0,0,610,34,5.573770491803279,576,94.42622950819673,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,Corseaux,5883,,610,0,0,610,83,13.60655737704918,527,86.39344262295083,
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,Corseaux,5883,,610,0,0,610,280,45.90163934426229,330,54.09836065573771,
gc_2022_centre,20.03.22,centre,Vevey,Corseaux,5883,,610,0,0,610,78,12.786885245901638,532,87.21311475409837,
gc_2022_verts,20.03.22,centre-gauche,Vevey,Corseaux,5883,,610,0,0,610,59,9.672131147540984,551,90.32786885245902,
gc_2022_PS,20.03.22,centre-gauche,Vevey,Corsier-sur-Vevey,5884,,629,0,0,629,134,21.303656597774246,495,78.69634340222575,
gc_2022_Gauche,20.03.22,gauche,Vevey,Corsier-sur-Vevey,5884,,629,0,0,629,61,9.697933227344992,568,90.30206677265501,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,Corsier-sur-Vevey,5884,,629,0,0,629,110,17.488076311605724,519,82.51192368839428,
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,Corsier-sur-Vevey,5884,,629,0,0,629,201,31.955484896661368,428,68.04451510333863,
gc_2022_centre,20.03.22,centre,Vevey,Corsier-sur-Vevey,5884,,629,0,0,629,45,7.154213036565977,584,92.84578696343402,
gc_2022_verts,20.03.22,centre-gauche,Vevey,Corsier-sur-Vevey,5884,,629,0,0,629,78,12.400635930047695,551,87.5993640699523,
gc_2022_PS,20.03.22,centre-gauche,Vevey,Jongny,5885,,388,0,0,388,56,14.432989690721648,332,85.56701030927834,
gc_2022_Gauche,20.03.22,gauche,Vevey,Jongny,5885,,388,0,0,388,24,6.185567010309279,364,93.81443298969072,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,Jongny,5885,,388,0,0,388,61,15.721649484536082,327,84.27835051546391,
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,Jongny,5885,,388,0,0,388,143,36.855670103092784,245,63.144329896907216,
gc_2022_centre,20.03.22,centre,Vevey,Jongny,5885,,388,0,0,388,52,13.402061855670103,336,86.5979381443299,
gc_2022_verts,20.03.22,centre-gauche,Vevey,Jongny,5885,,388,0,0,388,52,13.402061855670103,336,86.5979381443299,
gc_2022_PS,20.03.22,centre-gauche,Vevey,Montreux,5886,,3456,0,0,3456,858,24.82638888888889,2598,75.17361111111111,
gc_2022_Gauche,20.03.22,gauche,Vevey,Montreux,5886,,3456,0,0,3456,243,7.03125,3213,92.96875,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,Montreux,5886,,3456,0,0,3456,465,13.45486111111111,2991,86.54513888888889,
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,Montreux,5886,,3456,0,0,3456,1344,38.88888888888889,2112,61.111111111111114,
gc_2022_centre,20.03.22,centre,Vevey,Montreux,5886,,3456,0,0,3456,209,6.047453703703703,3247,93.95254629629629,
gc_2022_verts,20.03.22,centre-gauche,Vevey,Montreux,5886,,3456,0,0,3456,337,9.751157407407407,3119,90.2488425925926,
gc_2022_PS,20.03.22,centre-gauche,Vevey,La Tour-de-Peilz,5889,,2411,0,0,2411,503,20.86271256739942,1908,79.13728743260057,
gc_2022_Gauche,20.03.22,gauche,Vevey,La Tour-de-Peilz,5889,,2411,0,0,2411,205,8.502695976773122,2206,91.49730402322687,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,La Tour-de-Peilz,5889,,2411,0,0,2411,291,12.069680630443798,2120,87.9303193695562,
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,La Tour-de-Peilz,5889,,2411,0,0,2411,781,32.39319784321858,1630,67.60680215678143,
gc_2022_centre,20.03.22,centre,Vevey,La Tour-de-Peilz,5889,,2411,0,0,2411,282,11.696391538780588,2129,88.30360846121941,
gc_2022_verts,20.03.22,centre-gauche,Vevey,La Tour-de-Peilz,5889,,2411,0,0,2411,348,14.43384487764413,2063,85.56615512235587,
gc_2022_PS,20.03.22,centre-gauche,Vevey,Vevey,5890,,2884,0,0,2884,513,17.787794729542302,2371,82.2122052704577,
gc_2022_Gauche,20.03.22,gauche,Vevey,Vevey,5890,,2884,0,0,2884,698,24.20249653259362,2186,75.79750346740639,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,Vevey,5890,,2884,0,0,2884,247,8.564493758668517,2637,91.43550624133148,
