district_electoral,total_valables,votes_eag,votes_gauche,votes_raboud,part_eag_dist,part_gauche_dist,part_raboud_dist,sieges_2022,sieges_2027,sieges_eag_22,sieges_eag_27,sieges_eag_raboud,voix_quorum,part_quorum,voix_siege,part_manquante,levier,statut_district,potentiel_district,score_district,effectif_district,marge_district,score_marge_district
Aigle,7601,220,2848,477,0.02894356005788712,0.37468754111301145,0.06281094527363185,8,9,0,0,1,161,0.0211814234969083,169,0.022233916589922378,0.005917159763313609,offensive,292.6002125828787,1.7313622046324184,7602,0.03848989905062861,0.22775088195638232
Broye-Vully,7378,0,2163,380,0,0.29316888045540795,0.051466890192791284,8,8,0,0,0,369,0.05001355380862022,457,0.06194090539441583,0.002188183807439825,offensive,378.47248309332974,0.8281673590663671,7376,0.05131134532176379,0.11227865497103674
Gros-de-Vaud,9874,0,2951,491,0,0.29886570791978934,0.049705882352941176,8,8,0,0,0,494,0.05003038282357707,520,0.05266356086692323,0.0019230769230769232,offensive,490.83175864846106,0.9439072281701175,9884,0.049659222849905,0.09549850548058654
La Vallée,1647,0,705,93,0,0.42805100182149364,0.05674061433447099,2,2,0,0,0,83,0.050394656952034,540,0.32786885245901637,0.001851851851851852,conquete_longue,95.46347811238225,0.1767842187266338,1647,0.05796203892676518,0.10733710912363922
Lausanne-Ville,18616,2310,11445,2871,0.1240868070477009,0.6147937258272453,0.1542043106903888,26,26,3,3,4,0,0,263,0.014127632144391921,0.0038022813688212928,consolidation,2310,8.783269961977187,18616,0.049070691877954445,0.18658057748271653
Lavaux-Oron,13700,38,4914,793,0.002773722627737226,0.35868613138686134,0.057857630202410734,12,11,0,0,1,647,0.04722627737226277,728,0.053138686131386864,0.0013736263736263737,offensive,769.4979119277967,1.057002626274446,13700,0.0561677307976494,0.07715347637039753
Morges,16925,0,6549,1092,0,0.3869423929098966,0.06454545454545454,16,16,0,0,1,847,0.05004431314623338,891,0.05264401772525849,0.001122334455667789,offensive,1100.763106980972,1.2354243624926735,16929,0.06502233486803544,0.07297680681036525
Nyon,16449,0,5118,964,0,0.3111435345613715,0.058615236523652366,19,19,0,0,1,823,0.05003343668308104,866,0.05264757736032585,0.0011547344110854503,offensive,961.2744183723482,1.1100166493907024,16450,0.058436134855461896,0.06747821576843174
Ouest lausannois,9552,812,4690,918,0.08500837520938023,0.4909966499162479,0.09611998299836055,15,15,1,1,1,0,0,207,0.021670854271356784,0.004830917874396135,consolidation,812,3.9227053140096615,9553,0.04059457761959594,0.1961090706260673
Pays-d'Enhaut,1094,0,219,26,0,0.20018281535648993,0.02348993288590604,2,2,0,0,0,55,0.050274223034734916,404,0.3692870201096892,0.0024752475247524753,conquete_longue,28.366051660516604,0.07021299915969456,1093,0.02595247178455316,0.06423879154592366
Riviera,13861,1465,5834,1175,0.10569222999783566,0.4208931534521319,0.0847623713865752,14,14,1,1,1,0,0,211,0.015222566914364043,0.004739336492890996,consolidation,1465,6.943127962085309,13863,0.03151554497583496,0.1493627723973221
Romanel,5430,92,2087,306,0.01694290976058932,0.3843462246777164,0.056445377223019996,5,5,0,0,0,180,0.03314917127071823,658,0.12117863720073664,0.001519756838905775,conquete_longue,231.59783402344598,0.3519723921328966,5432,0.04263583100578903,0.06479609575347876
Yverdon,16477,1242,6925,1108,0.075377799356679,0.4202828184742368,0.06721644826028016,15,15,1,1,1,0,0,356,0.021605874855859682,0.0028089887640449437,consolidation,1253.2482865814402,3.520360355565843,16476,0.03551782986418486,0.09976918501175523
