district,sous_district,commune,num_ofs,population
Aigle,NA,Aigle,5401,12081
Aigle,NA,Bex,5402,8923
Aigle,NA,Chessel,5403,525
Aigle,NA,Corbeyrier,5404,456
Aigle,NA,Gryon,5405,1546
Aigle,NA,Lavey-Morcles,5406,1024
Aigle,NA,Leysin,5407,3722
Aigle,NA,Noville,5408,1214
Aigle,NA,Ollon,5409,8302
Aigle,NA,Ormont-Dessous,5410,1261
Aigle,NA,Ormont-Dessus,5411,1440
Aigle,NA,Rennaz,5412,935
Aigle,NA,Roche,5413,2035
Aigle,NA,Villeneuve,5414,6073
Aigle,NA,Yvorne,5415,1119
Broye-Vully,NA,Avenches,5451,4953
Broye-Vully,NA,Bussy-sur-Moudon,5663,267
Broye-Vully,NA,Champtauroz,5812,184
Broye-Vully,NA,Chavannes-sur-Moudon,5665,232
Broye-Vully,NA,Chevroux,5813,487
Broye-Vully,NA,Corcelles-le-Jorat,5785,495
Broye-Vully,NA,Corcelles-près-Payerne,5816,3129
Broye-Vully,NA,Cudrefin,5456,1915
Broye-Vully,NA,Curtilles,5669,302
Broye-Vully,NA,Dompierre,5671,242
Broye-Vully,NA,Faoug,5458,902
Broye-Vully,NA,Grandcour,5817,970
Broye-Vully,NA,Henniez,5819,464
Broye-Vully,NA,Hermenches,5673,364
Broye-Vully,NA,Lovatens,5674,152
Broye-Vully,NA,Lucens,5675,4892
Broye-Vully,NA,Missy,5821,379
Broye-Vully,NA,Moudon,5678,6847
Broye-Vully,NA,Payerne,5822,10972
Broye-Vully,NA,Prévonloup,5683,249
Broye-Vully,NA,Ropraz,5798,535
Broye-Vully,NA,Rossenges,5684,82
Broye-Vully,NA,Syens,5688,144
Broye-Vully,NA,Trey,5827,305
Broye-Vully,NA,Treytorrens,5828,108
Broye-Vully,NA,Valbroye,5831,3416
Broye-Vully,NA,Villars-le-Comte,5690,129
Broye-Vully,NA,Villarzel,5830,522
Broye-Vully,NA,Vucherens,5692,634
Broye-Vully,NA,Vulliens,5803,630
Broye-Vully,NA,Vully-les-Lacs,5464,3698
Gros-de-Vaud,NA,Assens,5511,1747
Gros-de-Vaud,NA,Bercher,5512,1359
Gros-de-Vaud,NA,Bettens,5471,652
Gros-de-Vaud,NA,Bottens,5514,1389
Gros-de-Vaud,NA,Boulens,5661,371
Gros-de-Vaud,NA,Bournens,5472,612
Gros-de-Vaud,NA,Boussens,5473,1016
Gros-de-Vaud,NA,Bretigny-sur-Morrens,5515,893
Gros-de-Vaud,NA,Cugy,5516,2824
Gros-de-Vaud,NA,Daillens,5480,1113
Gros-de-Vaud,NA,Echallens,5518,6816
Gros-de-Vaud,NA,Essertines-sur-Yverdon,5520,1183
Gros-de-Vaud,NA,Etagnières,5521,1168
Gros-de-Vaud,NA,Fey,5522,791
Gros-de-Vaud,NA,Froideville,5523,2713
Gros-de-Vaud,NA,Goumoëns,5541,1251
Gros-de-Vaud,NA,Jorat-Menthue,5804,1564
Gros-de-Vaud,NA,Lussery-Villars,5487,469
Gros-de-Vaud,NA,Mex,5489,828
Gros-de-Vaud,NA,Montanaire,5693,2856
Gros-de-Vaud,NA,Montilliez,5540,1856
Gros-de-Vaud,NA,Morrens,5527,1145
Gros-de-Vaud,NA,Ogens,5680,342
Gros-de-Vaud,NA,Oppens,5923,201
Gros-de-Vaud,NA,Oulens-sous-Echallens,5529,609
Gros-de-Vaud,NA,Pailly,5530,575
Gros-de-Vaud,NA,Penthalaz,5495,3199
Gros-de-Vaud,NA,Penthaz,5496,1910
Gros-de-Vaud,NA,Penthéréaz,5531,446
Gros-de-Vaud,NA,Poliez-Pittet,5533,847
Gros-de-Vaud,NA,Rueyres,5534,302
Gros-de-Vaud,NA,Saint-Barthélemy,5535,838
Gros-de-Vaud,NA,Sullens,5501,1282
Gros-de-Vaud,NA,Villars-le-Terroir,5537,1334
Gros-de-Vaud,NA,Vuarrens,5539,1113
Gros-de-Vaud,NA,Vufflens-la-Ville,5503,1327
Jura-Nord vaudois,La Vallée,L'Abbaye,5871,1599
Jura-Nord vaudois,Yverdon,L'Abergement,5741,267
Jura-Nord vaudois,Yverdon,Agiez,5742,382
Jura-Nord vaudois,Yverdon,Arnex-sur-Orbe,5743,698
Jura-Nord vaudois,Yverdon,Ballaigues,5744,1217
Jura-Nord vaudois,Yverdon,Baulmes,5745,1189
Jura-Nord vaudois,Yverdon,Bavois,5746,1055
Jura-Nord vaudois,Yverdon,Belmont-sur-Yverdon,5902,457
Jura-Nord vaudois,Yverdon,Bioley-Magnoux,5903,252
Jura-Nord vaudois,Yverdon,Bofflens,5747,201
Jura-Nord vaudois,Yverdon,Bonvillars,5551,517
Jura-Nord vaudois,Yverdon,Bretonnières,5748,265
Jura-Nord vaudois,Yverdon,Bullet,5552,687
Jura-Nord vaudois,Yverdon,Chamblon,5904,558
Jura-Nord vaudois,Yverdon,Champagne,5553,1087
Jura-Nord vaudois,Yverdon,Champvent,5905,692
Jura-Nord vaudois,Yverdon,Chavannes-le-Chêne,5907,329
Jura-Nord vaudois,Yverdon,Chavornay,5749,5374
Jura-Nord vaudois,Yverdon,Chêne-Pâquier,5908,172
Jura-Nord vaudois,La Vallée,Le Chenit,5872,4792
Jura-Nord vaudois,Yverdon,Cheseaux-Noréaz,5909,745
Jura-Nord vaudois,Yverdon,Les Clées,5750,195
Jura-Nord vaudois,Yverdon,Concise,5554,1035
Jura-Nord vaudois,Yverdon,Corcelles-près-Concise,5555,439
Jura-Nord vaudois,Yverdon,Cronay,5910,432
Jura-Nord vaudois,Yverdon,Croy,5752,408
Jura-Nord vaudois,Yverdon,Cuarny,5911,244
Jura-Nord vaudois,Yverdon,Démoret,5912,181
Jura-Nord vaudois,Yverdon,Donneloye,5913,905
Jura-Nord vaudois,Yverdon,Ependes,5914,376
Jura-Nord vaudois,Yverdon,Fiez,5556,421
Jura-Nord vaudois,Yverdon,Fontaines-sur-Grandson,5557,228
Jura-Nord vaudois,Yverdon,Giez,5559,464
Jura-Nord vaudois,Yverdon,Grandevent,5560,241
Jura-Nord vaudois,Yverdon,Grandson,5561,3391
Jura-Nord vaudois,Yverdon,Juriens,5754,345
Jura-Nord vaudois,La Vallée,Le Lieu,5873,926
Jura-Nord vaudois,Yverdon,Lignerolle,5755,452
Jura-Nord vaudois,Yverdon,Mathod,5919,740
Jura-Nord vaudois,Yverdon,Mauborget,5562,137
Jura-Nord vaudois,Yverdon,Molondin,5921,260
Jura-Nord vaudois,Yverdon,Montagny-près-Yverdon,5922,768
Jura-Nord vaudois,Yverdon,Montcherand,5756,494
Jura-Nord vaudois,Yverdon,Mutrux,5563,138
