district_csv,district,district_electoral,sieges_2022,sieges_2027
Aigle,Aigle,Aigle,8,9
Broye - Vully,Broye-Vully,Broye-Vully,8,8
Gros-de-Vaud,Gros-de-Vaud,Gros-de-Vaud,8,8
Yverdon,Jura-Nord vaudois,Yverdon,15,15
La Vallée,Jura-Nord vaudois,La Vallée,2,2
Lausanne-Ville,Lausanne,Lausanne-Ville,26,26
Romanel,Lausanne,Romanel,5,5
Lavaux - Oron,Lavaux - Oron,Lavaux-Oron,12,11
Morges,Morges,Morges,16,16
Nyon,Nyon,Nyon,19,19
Ouest lausannois,Ouest lausannois,Ouest lausannois,15,15
Pays-d'Enhaut,Riviera-Pays-d'Enhaut,Pays-d'Enhaut,2,2
Riviera,Riviera-Pays-d'Enhaut,Riviera,14,14
