Code;Libellé;Potentiel de consommation équivalent: P40 2022;Taux d'aide sociale 2025;Potentiel de consommation équivalent: P20 2022;Potentiel de consommation équivalent: P60 2022;Potentiel de consommation équivalent: P80 2022;Potentiel de consommation équivalent: médiane 2022;Emplois EPT, tous secteurs 2023;Emplois EPT dans le secteur primaire 2023;Emplois EPT dans le secteur secondaire 2023;Emplois EPT dans le secteur tertiaire 2023
5401;Aigle;42800;7.01;33500;54200;72800;48400;5126;207;1257;3662
5402;Bex;45400;8.59;34400;58700;77900;52100;2181;113;832;1236
5403;Chessel;52800;3.64;37900;63800;81600;58200;75;46;8;21
5404;Corbeyrier;55700;1.72;42700;66300;89400;60400;80;8;7;65
5405;Gryon;53900;1.58;40200;70700;97100;60300;325;6;81;238
5406;Lavey-Morcles;48500;4.28;37300;59200;76400;54300;309;7;51;251
5407;Leysin;46400;2.65;34400;59600;83600;52400;1168;21;125;1021
5408;Noville;55900;1.95;40900;74000;93000;62900;700;68;260;373
5409;Ollon;58500;1.55;43100;76500;105700;67000;2494;151;282;2061
5410;Ormont-Dessous;47600;3.01;36600;60200;75900;52700;307;50;31;227
5411;Ormont-Dessus;51900;0.8;40400;68100;92700;58400;643;24;133;486
5412;Rennaz;46900;5.75;34700;56800;74700;51400;2534;14;112;2408
5413;Roche;44600;5.45;34600;56200;72400;50500;542;12;347;184
5414;Villeneuve;44800;6.37;34100;57000;77800;50800;2483;26;955;1502
5415;Yvorne;57900;2.03;43400;72900;94300;66500;381;146;52;183
5422;Aubonne;61700;1.48;46700;81700;119900;71000;3431;82;1044;2305
5423;Ballens;59600;2;47800;72100;92900;66800;268;62;31;175
5424;Berolle;67400;1.6;47300;81000;102500;76600;48;26;8;14
5425;Bière;49000;3.33;39000;60600;78200;55700;435;52;154;229
5426;Bougy-Villars;86800;0.96;57900;132900;229900;109200;60;15;N/A - secret statistique;44
5427;Féchy;81800;0.99;56700;114800;190500;93900;275;33;46;196
5428;Gimel;55900;1.8;44500;69100;91600;62600;480;48;90;342
5429;Longirod;66000;1.23;47600;82900;105600;73200;60;30;7;23
5430;Marchissy;62100;0.08;49700;75000;101100;68600;61;30;15;16
5431;Mollens;57000;1.56;45600;76200;113400;66900;48;20;5;23
5434;Saint-George;64800;1.22;45400;85000;115200;72700;159;24;40;94
5435;Saint-Livres;66700;0.52;50200;84400;103800;75900;75;25;23;27
5436;Saint-Oyens;73900;0.36;56900;92000;108400;82400;52;8;21;24
5437;Saubraz;61800;0.42;45300;79600;100000;69800;24;N/A - secret statistique induit;9;10
5451;Avenches;45400;4.69;35300;55400;72600;50200;2470;132;811;1527
5456;Cudrefin;61000;0.81;48600;76400;103700;69200;282;57;32;193
5458;Faoug;56500;1.31;42500;74200;94500;63600;125;17;34;73
5464;Vully-les-Lacs;58000;1.75;44800;73800;100000;65700;483;132;42;309
5471;Bettens;68600;1.82;54500;84200;103400;75300;74;13;22;39
5472;Bournens;64400;1.43;51100;82200;107500;72000;39;12;N/A - secret statistique induit;21
5473;Boussens;65400;0.84;51300;82900;105600;75800;130;9;13;108
5474;La Chaux (Cossonay);61200;1.37;47900;77600;102800;68900;40;13;8;20
5475;Chavannes-le-Veyron;55500;4.26;37300;71200;99000;62200;22;17;N/A - secret statistique;N/A - secret statistique
