votation,date,positionnement_politique_oui,district,Communes,code_ofs,Electeurs_inscrits,Bulletins_rentres,Blancs,Nuls,Valables,OUI,OUI_perc,NON,NON_perc,particip_perc
gc_2022_PS,20.03.22,centre-gauche,Vevey,Blonay - Saint-Légier,5892,,2601,0,0,2601,432,16.61%,2169,83.39%,
gc_2022_Gauche,20.03.22,gauche,Vevey,Blonay - Saint-Légier,5892,,2601,0,0,2601,131,5.04%,2470,94.96%,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,Blonay - Saint-Légier,5892,,2601,0,0,2601,326,12.53%,2275,87.47%,
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,Blonay - Saint-Légier,5892,,2601,0,0,2601,1091,41.95%,1510,58.05%,
gc_2022_centre,20.03.22,centre,Vevey,Blonay - Saint-Légier,5892,,2601,0,0,2601,312,12.00%,2289,88.00%,
gc_2022_verts,20.03.22,centre-gauche,Vevey,Blonay - Saint-Légier,5892,,2601,0,0,2601,308,11.84%,2293,88.16%,
gc_2022_PS,20.03.22,centre-gauche,Vevey,Chardonne,5882,,727,0,0,727,85,11.69%,642,88.31%,
gc_2022_Gauche,20.03.22,gauche,Vevey,Chardonne,5882,,727,0,0,727,55,7.57%,672,92.43%,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,Chardonne,5882,,727,0,0,727,114,15.68%,613,84.32%,
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,Chardonne,5882,,727,0,0,727,315,43.33%,412,56.67%,
gc_2022_centre,20.03.22,centre,Vevey,Chardonne,5882,,727,0,0,727,73,10.04%,654,89.96%,
gc_2022_verts,20.03.22,centre-gauche,Vevey,Chardonne,5882,,727,0,0,727,85,11.69%,642,88.31%,
gc_2022_PS,20.03.22,centre-gauche,Vevey,Corseaux,5883,,610,0,0,610,77,12.62%,533,87.38%,
gc_2022_Gauche,20.03.22,gauche,Vevey,Corseaux,5883,,610,0,0,610,34,5.57%,576,94.43%,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,Corseaux,5883,,610,0,0,610,83,13.61%,527,86.39%,
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,Corseaux,5883,,610,0,0,610,280,45.90%,330,54.10%,
gc_2022_centre,20.03.22,centre,Vevey,Corseaux,5883,,610,0,0,610,78,12.79%,532,87.21%,
gc_2022_verts,20.03.22,centre-gauche,Vevey,Corseaux,5883,,610,0,0,610,59,9.67%,551,90.33%,
gc_2022_PS,20.03.22,centre-gauche,Vevey,Corsier-sur-Vevey,5884,,629,0,0,629,134,21.30%,495,78.70%,
gc_2022_Gauche,20.03.22,gauche,Vevey,Corsier-sur-Vevey,5884,,629,0,0,629,61,9.70%,568,90.30%,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,Corsier-sur-Vevey,5884,,629,0,0,629,110,17.49%,519,82.51%,
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,Corsier-sur-Vevey,5884,,629,0,0,629,201,31.96%,428,68.04%,
gc_2022_centre,20.03.22,centre,Vevey,Corsier-sur-Vevey,5884,,629,0,0,629,45,7.15%,584,92.85%,
gc_2022_verts,20.03.22,centre-gauche,Vevey,Corsier-sur-Vevey,5884,,629,0,0,629,78,12.40%,551,87.60%,
gc_2022_PS,20.03.22,centre-gauche,Vevey,Jongny,5885,,388,0,0,388,56,14.43%,332,85.57%,
gc_2022_Gauche,20.03.22,gauche,Vevey,Jongny,5885,,388,0,0,388,24,6.19%,364,93.81%,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,Jongny,5885,,388,0,0,388,61,15.72%,327,84.28%,
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,Jongny,5885,,388,0,0,388,143,36.86%,245,63.14%,
gc_2022_centre,20.03.22,centre,Vevey,Jongny,5885,,388,0,0,388,52,13.40%,336,86.60%,
gc_2022_verts,20.03.22,centre-gauche,Vevey,Jongny,5885,,388,0,0,388,52,13.40%,336,86.60%,
gc_2022_PS,20.03.22,centre-gauche,Vevey,La Tour-de-Peilz,5889,,2411,0,0,2411,503,20.86%,1908,79.14%,
gc_2022_Gauche,20.03.22,gauche,Vevey,La Tour-de-Peilz,5889,,2411,0,0,2411,205,8.50%,2206,91.50%,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,La Tour-de-Peilz,5889,,2411,0,0,2411,291,12.07%,2120,87.93%,
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,La Tour-de-Peilz,5889,,2411,0,0,2411,781,32.39%,1630,67.61%,
gc_2022_centre,20.03.22,centre,Vevey,La Tour-de-Peilz,5889,,2411,0,0,2411,282,11.70%,2129,88.30%,
gc_2022_verts,20.03.22,centre-gauche,Vevey,La Tour-de-Peilz,5889,,2411,0,0,2411,348,14.43%,2063,85.57%,
gc_2022_PS,20.03.22,centre-gauche,Vevey,Montreux,5886,,3456,0,0,3456,858,24.83%,2598,75.17%,
gc_2022_Gauche,20.03.22,gauche,Vevey,Montreux,5886,,3456,0,0,3456,243,7.03%,3213,92.97%,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,Montreux,5886,,3456,0,0,3456,465,13.45%,2991,86.55%,
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,Montreux,5886,,3456,0,0,3456,1344,38.89%,2112,61.11%,
gc_2022_centre,20.03.22,centre,Vevey,Montreux,5886,,3456,0,0,3456,209,6.05%,3247,93.95%,
gc_2022_verts,20.03.22,centre-gauche,Vevey,Montreux,5886,,3456,0,0,3456,337,9.75%,3119,90.25%,
gc_2022_PS,20.03.22,centre-gauche,Vevey,Vevey,5890,,2884,0,0,2884,513,17.79%,2371,82.21%,
gc_2022_Gauche,20.03.22,gauche,Vevey,Vevey,5890,,2884,0,0,2884,698,24.20%,2186,75.80%,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,Vevey,5890,,2884,0,0,2884,247,8.56%,2637,91.44%,
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,Vevey,5890,,2884,0,0,2884,816,28.29%,2068,71.71%,
gc_2022_centre,20.03.22,centre,Vevey,Vevey,5890,,2884,0,0,2884,216,7.49%,2668,92.51%,
gc_2022_verts,20.03.22,centre-gauche,Vevey,Vevey,5890,,2884,0,0,2884,394,13.66%,2490,86.34%,
gc_2022_PS,20.03.22,centre-gauche,Vevey,Veytaux,5891,,157,0,0,157,35,22.29%,122,77.71%,
gc_2022_Gauche,20.03.22,gauche,Vevey,Veytaux,5891,,157,0,0,157,14,8.92%,143,91.08%,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,Veytaux,5891,,157,0,0,157,20,12.74%,137,87.26%,
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,Veytaux,5891,,157,0,0,157,64,40.76%,93,59.24%,
gc_2022_centre,20.03.22,centre,Vevey,Veytaux,5891,,157,0,0,157,8,5.10%,149,94.90%,
gc_2022_verts,20.03.22,centre-gauche,Vevey,Veytaux,5891,,157,0,0,157,15,9.55%,142,90.45%,
gc_2022_PS,20.03.22,centre-gauche,La Vallée,L'Abbaye,5871,,396,0,0,396,104,26.26%,292,73.74%,
gc_2022_Gauche,20.03.22,gauche,La Vallée,L'Abbaye,5871,,396,0,0,396,,0.00%,396,100.00%,
gc_2022_extreme-droite,20.03.22,extreme-droite,La Vallée,L'Abbaye,5871,,396,0,0,396,46,11.62%,350,88.38%,
gc_2022_droite-bourgeoise,20.03.22,droite,La Vallée,L'Abbaye,5871,,396,0,0,396,198,50.00%,198,50.00%,
gc_2022_centre,20.03.22,centre,La Vallée,L'Abbaye,5871,,396,0,0,396,17,4.29%,379,95.71%,
gc_2022_verts,20.03.22,centre-gauche,La Vallée,L'Abbaye,5871,,396,0,0,396,32,8.08%,364,91.92%,
gc_2022_PS,20.03.22,centre-gauche,La Vallée,Le Chenit,5872,,971,0,0,971,354,36.46%,617,63.54%,
gc_2022_Gauche,20.03.22,gauche,La Vallée,Le Chenit,5872,,971,0,0,971,,0.00%,971,100.00%,
gc_2022_extreme-droite,20.03.22,extreme-droite,La Vallée,Le Chenit,5872,,971,0,0,971,90,9.27%,881,90.73%,
gc_2022_droite-bourgeoise,20.03.22,droite,La Vallée,Le Chenit,5872,,971,0,0,971,399,41.09%,572,58.91%,
gc_2022_centre,20.03.22,centre,La Vallée,Le Chenit,5872,,971,0,0,971,32,3.30%,939,96.70%,
gc_2022_verts,20.03.22,centre-gauche,La Vallée,Le Chenit,5872,,971,0,0,971,94,9.68%,877,90.32%,
gc_2022_PS,20.03.22,centre-gauche,La Vallée,Le Lieu,5873,,280,0,0,280,81,28.93%,199,71.07%,
gc_2022_Gauche,20.03.22,gauche,La Vallée,Le Lieu,5873,,280,0,0,280,,0.00%,280,100.00%,
gc_2022_extreme-droite,20.03.22,extreme-droite,La Vallée,Le Lieu,5873,,280,0,0,280,23,8.21%,257,91.79%,
gc_2022_droite-bourgeoise,20.03.22,droite,La Vallée,Le Lieu,5873,,280,0,0,280,129,46.07%,151,53.93%,
gc_2022_centre,20.03.22,centre,La Vallée,Le Lieu,5873,,280,0,0,280,8,2.86%,272,97.14%,
gc_2022_verts,20.03.22,centre-gauche,La Vallée,Le Lieu,5873,,280,0,0,280,40,14.29%,240,85.71%,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Agiez,5742,,72,0,0,72,9,12.50%,63,87.50%,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Agiez,5742,,72,0,0,72,6,8.33%,66,91.67%,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Agiez,5742,,72,0,0,72,19,26.39%,53,73.61%,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Agiez,5742,,72,0,0,72,32,44.44%,40,55.56%,
gc_2022_centre,20.03.22,centre,Yverdon,Agiez,5742,,72,0,0,72,3,4.17%,69,95.83%,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Agiez,5742,,72,0,0,72,3,4.17%,69,95.83%,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Arnex-sur-Orbe,5743,,182,0,0,182,27,14.84%,155,85.16%,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Arnex-sur-Orbe,5743,,182,0,0,182,14,7.69%,168,92.31%,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Arnex-sur-Orbe,5743,,182,0,0,182,36,19.78%,146,80.22%,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Arnex-sur-Orbe,5743,,182,0,0,182,62,34.07%,120,65.93%,
gc_2022_centre,20.03.22,centre,Yverdon,Arnex-sur-Orbe,5743,,182,0,0,182,13,7.14%,169,92.86%,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Arnex-sur-Orbe,5743,,182,0,0,182,30,16.48%,152,83.52%,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Ballaigues,5744,,237,0,0,237,46,19.41%,191,80.59%,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Ballaigues,5744,,237,0,0,237,17,7.17%,220,92.83%,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Ballaigues,5744,,237,0,0,237,45,18.99%,192,81.01%,
