année,parti,sièges
2026,Verts lib,3
2021,Verts lib,0
2016,Verts lib,0
2011,Verts lib,0
2006,Verts lib,0
2026,UDC,12
2021,UDC,8
2016,UDC,11
2011,UDC,11
2006,UDC,9
2026,PS,29
2021,PS,28
2016,PS,28
2011,PS,29
2006,PS,36
2026,PLR,34
2021,PLR,33
2016,PLR,42
2011,PLR,39
2006,PLR,37
2026,Montreux Libre,6
2021,Montreux Libre,9
2016,Montreux Libre,7
2011,Montreux Libre,10
2006,Montreux Libre,7
2026,Les Vert.e.s,9
2021,Les Vert.e.s,15
2016,Les Vert.e.s,12
2011,Les Vert.e.s,11
2006,Les Vert.e.s,11
2026,da.,7
2021,da.,7
2016,da.,0
2011,da.,0
2006,da.,0
